reference_month,frn_id,group_name,performance_classification,business_model,orders,gmv_basket,delivery_fee,paid_delivery_fee,commission,service_fee,anticipation_fee,olp_fee,delivery_cost,occurrences_cost
2024-06,FRN_00026,GRUPO_161,STANDARD,MARKETPLACE,205,12345.04,740.7,555.53,1975.21,246.9,24.69,185.18,0.0,0.0
2024-06,FRN_00027,GRUPO_314,STANDARD,MARKETPLACE,189,9632.35,577.94,433.46,1541.18,192.65,19.26,144.49,0.0,0.0
2024-06,FRN_00028,GRUPO_022,STANDARD,MARKETPLACE,381,25642.17,1538.53,1153.9,4102.75,512.84,51.28,384.63,0.0,0.0
2024-06,FRN_00029,GRUPO_253,LONG_TAIL,MARKETPLACE,66,2645.75,158.75,119.06,423.32,52.91,5.29,39.69,0.0,0.0
2024-06,FRN_00030,GRUPO_236,STRATEGIC,MARKETPLACE,576,67059.21,4023.55,3017.66,10729.47,1341.18,134.12,1005.89,0.0,0.0
2024-06,FRN_00031,GRUPO_345,STANDARD,MARKETPLACE,298,27351.52,1641.09,1230.82,4376.24,547.03,54.7,410.27,0.0,0.0
2024-06,FRN_00032,GRUPO_049,LONG_TAIL,MARKETPLACE,96,3605.24,216.31,162.23,576.84,72.1,7.21,54.08,0.0,0.0
2024-06,FRN_00033,GRUPO_059,STANDARD,MARKETPLACE,379,15071.1,904.27,678.2,2411.38,301.42,30.14,226.07,0.0,0.0
2024-06,FRN_00034,GRUPO_170,STANDARD,MARKETPLACE,513,24615.53,1476.93,1107.7,3938.48,492.31,49.23,369.23,0.0,0.0
2024-06,FRN_00035,GRUPO_188,STANDARD,MARKETPLACE,360,14240.62,854.44,640.83,2278.5,284.81,28.48,213.61,0.0,0.0
2024-06,FRN_00036,GRUPO_271,STRATEGIC,MARKETPLACE,679,113277.11,6796.63,5097.47,18124.34,2265.54,226.55,1699.16,0.0,0.0
2024-06,FRN_00037,GRUPO_190,STANDARD,MARKETPLACE,195,25684.86,1541.09,1155.82,4109.58,513.7,51.37,385.27,0.0,0.0
2024-06,FRN_00038,GRUPO_175,STANDARD,MARKETPLACE,284,27638.87,1658.33,1243.75,4422.22,552.78,55.28,414.58,0.0,0.0
2024-06,FRN_00039,GRUPO_051,KEY_ACCOUNT,FULL_SERVICE,1871,388087.32,31046.99,23285.24,46570.48,7761.75,1940.44,5821.31,-21732.89,-3104.7
2024-06,FRN_00040,GRUPO_364,KEY_ACCOUNT,FULL_SERVICE,1139,172705.24,13816.42,10362.32,20724.63,3454.1,863.53,2590.58,-9671.49,-1381.64
2024-06,FRN_00041,GRUPO_055,LONG_TAIL,MARKETPLACE,92,4029.8,241.79,181.34,644.77,80.6,8.06,60.45,0.0,0.0
2024-06,FRN_00042,GRUPO_244,STANDARD,MARKETPLACE,300,8001.65,480.1,360.08,1280.26,160.03,16.0,120.02,0.0,0.0
2024-06,FRN_00043,GRUPO_320,STANDARD,MARKETPLACE,225,22825.15,1369.51,1027.13,3652.02,456.5,45.65,342.38,0.0,0.0
2024-06,FRN_00044,GRUPO_131,STANDARD,MARKETPLACE,143,12881.18,772.87,579.65,2060.99,257.62,25.76,193.22,0.0,0.0
2024-06,FRN_00045,GRUPO_307,LONG_TAIL,MARKETPLACE,62,2836.67,170.2,127.65,453.87,56.73,5.67,42.55,0.0,0.0
2024-06,FRN_00046,GRUPO_135,STANDARD,FULL_SERVICE,298,19450.19,1556.02,1167.01,2334.02,389.0,97.25,291.75,-1089.21,-155.6
2024-06,FRN_00047,GRUPO_021,STANDARD,MARKETPLACE,240,23047.85,1382.87,1037.15,3687.66,460.96,46.1,345.72,0.0,0.0
2024-06,FRN_00048,GRUPO_329,LONG_TAIL,FULL_SERVICE,58,5286.8,422.94,317.2,634.42,105.74,26.43,79.3,-296.06,-42.29
2024-06,FRN_00049,GRUPO_167,LONG_TAIL,FULL_SERVICE,87,3782.3,302.58,226.94,453.88,75.65,18.91,56.73,-211.81,-30.26
2024-06,FRN_00050,GRUPO_274,STRATEGIC,MARKETPLACE,926,120339.11,7220.35,5415.26,19254.26,2406.78,240.68,1805.09,0.0,0.0
2024-06,FRN_00051,GRUPO_388,LONG_TAIL,MARKETPLACE,7,219.66,13.18,9.88,35.15,4.39,0.44,3.29,0.0,0.0
2024-06,FRN_00052,GRUPO_089,STANDARD,MARKETPLACE,272,6979.24,418.75,314.06,1116.68,139.58,13.96,104.69,0.0,0.0
2024-06,FRN_00053,GRUPO_316,STANDARD,MARKETPLACE,514,47813.57,2868.81,2151.61,7650.17,956.27,95.63,717.2,0.0,0.0
2024-06,FRN_00054,GRUPO_014,STRATEGIC,MARKETPLACE,709,64725.84,3883.55,2912.66,10356.13,1294.52,129.45,970.89,0.0,0.0
2024-06,FRN_00055,GRUPO_242,STRATEGIC,FULL_SERVICE,705,22291.08,1783.29,1337.47,2674.93,445.82,111.46,334.37,-1248.3,-178.33
2024-06,FRN_00056,GRUPO_265,LONG_TAIL,MARKETPLACE,5,421.1,25.27,18.95,67.38,8.42,0.84,6.32,0.0,0.0
2024-06,FRN_00057,GRUPO_346,STANDARD,MARKETPLACE,458,24676.23,1480.57,1110.43,3948.2,493.52,49.35,370.14,0.0,0.0
2024-06,FRN_00058,GRUPO_053,STANDARD,MARKETPLACE,384,32325.04,1939.5,1454.62,5172.01,646.5,64.65,484.88,0.0,0.0
2024-06,FRN_00059,GRUPO_386,LONG_TAIL,MARKETPLACE,75,1826.01,109.56,82.17,292.16,36.52,3.65,27.39,0.0,0.0
2024-06,FRN_00060,GRUPO_340,LONG_TAIL,MARKETPLACE,2,142.57,8.55,6.41,22.81,2.85,0.29,2.14,0.0,0.0
2024-06,FRN_00061,GRUPO_092,STRATEGIC,MARKETPLACE,277,27443.02,1646.58,1234.93,4390.88,548.86,54.89,411.65,0.0,0.0
2024-06,FRN_00062,GRUPO_367,STANDARD,MARKETPLACE,244,13936.25,836.17,627.13,2229.8,278.73,27.87,209.04,0.0,0.0
2024-06,FRN_00063,GRUPO_264,STRATEGIC,MARKETPLACE,781,60837.01,3650.22,2737.66,9733.92,1216.74,121.67,912.56,0.0,0.0
2024-06,FRN_00064,GRUPO_035,LONG_TAIL,FULL_SERVICE,91,5261.9,420.95,315.71,631.43,105.24,26.31,78.93,-294.66,-42.1
2024-06,FRN_00065,GRUPO_206,LONG_TAIL,MARKETPLACE,119,2982.45,178.95,134.21,477.19,59.65,5.96,44.74,0.0,0.0
2024-06,FRN_00066,GRUPO_081,LONG_TAIL,FULL_SERVICE,77,4899.27,391.94,293.95,587.91,97.99,24.5,73.49,-274.36,-39.19
2024-06,FRN_00067,GRUPO_050,STRATEGIC,FULL_SERVICE,790,47266.98,3781.36,2836.02,5672.04,945.34,236.33,709.0,-2646.95,-378.14
2024-06,FRN_00068,GRUPO_360,STRATEGIC,MARKETPLACE,989,117174.12,7030.45,5272.84,18747.86,2343.48,234.35,1757.61,0.0,0.0
2024-06,FRN_00069,GRUPO_388,STANDARD,MARKETPLACE,145,11930.99,715.86,536.89,1908.96,238.62,23.86,178.96,0.0,0.0
2024-06,FRN_00070,GRUPO_002,STANDARD,MARKETPLACE,472,32560.05,1953.6,1465.2,5209.61,651.2,65.12,488.4,0.0,0.0
2024-06,FRN_00071,GRUPO_390,STANDARD,MARKETPLACE,284,32348.78,1940.93,1455.7,5175.8,646.98,64.7,485.23,0.0,0.0
2024-06,FRN_00072,GRUPO_054,LONG_TAIL,MARKETPLACE,27,2189.59,131.38,98.53,350.33,43.79,4.38,32.84,0.0,0.0
2024-06,FRN_00073,GRUPO_106,STANDARD,MARKETPLACE,392,17295.77,1037.75,778.31,2767.32,345.92,34.59,259.44,0.0,0.0
2024-06,FRN_00074,GRUPO_260,STANDARD,MARKETPLACE,211,11669.41,700.16,525.12,1867.11,233.39,23.34,175.04,0.0,0.0
2024-06,FRN_00075,GRUPO_310,LONG_TAIL,FULL_SERVICE,2,120.42,9.63,7.22,14.45,2.41,0.6,1.81,-6.74,-0.96
2024-06,FRN_00076,GRUPO_191,STANDARD,MARKETPLACE,188,14721.05,883.26,662.44,2355.37,294.42,29.44,220.82,0.0,0.0
2024-06,FRN_00077,GRUPO_218,LONG_TAIL,MARKETPLACE,18,1199.06,71.94,53.95,191.85,23.98,2.4,17.99,0.0,0.0
2024-06,FRN_00078,GRUPO_044,STRATEGIC,FULL_SERVICE,1039,91676.63,7334.13,5500.6,11001.2,1833.53,458.38,1375.15,-5133.89,-733.41
2024-06,FRN_00079,GRUPO_162,STANDARD,MARKETPLACE,324,23432.26,1405.94,1054.45,3749.16,468.65,46.86,351.48,0.0,0.0
2024-06,FRN_00080,GRUPO_202,KEY_ACCOUNT,FULL_SERVICE,2302,271754.0,21740.32,16305.24,32610.48,5435.08,1358.77,4076.31,-15218.22,-2174.03
2024-06,FRN_00081,GRUPO_270,STRATEGIC,MARKETPLACE,678,53814.66,3228.88,2421.66,8610.35,1076.29,107.63,807.22,0.0,0.0
2024-06,FRN_00082,GRUPO_351,LONG_TAIL,MARKETPLACE,58,3456.74,207.4,155.55,553.08,69.13,6.91,51.85,0.0,0.0
2024-06,FRN_00083,GRUPO_304,STRATEGIC,MARKETPLACE,569,51457.94,3087.48,2315.61,8233.27,1029.16,102.92,771.87,0.0,0.0
2024-06,FRN_00084,GRUPO_271,STANDARD,MARKETPLACE,391,42229.99,2533.8,1900.35,6756.8,844.6,84.46,633.45,0.0,0.0
2024-06,FRN_00085,GRUPO_215,STANDARD,MARKETPLACE,339,22420.45,1345.23,1008.92,3587.27,448.41,44.84,336.31,0.0,0.0
2024-06,FRN_00086,GRUPO_252,STANDARD,FULL_SERVICE,304,29318.91,2345.51,1759.13,3518.27,586.38,146.59,439.78,-1641.86,-234.55
2024-06,FRN_00087,GRUPO_190,LONG_TAIL,MARKETPLACE,63,1280.06,76.8,57.6,204.81,25.6,2.56,19.2,0.0,0.0
2024-06,FRN_00088,GRUPO_296,KEY_ACCOUNT,FULL_SERVICE,1938,248772.94,19901.84,14926.38,29852.75,4975.46,1243.86,3731.59,-13931.29,-1990.18
2024-06,FRN_00089,GRUPO_213,LONG_TAIL,MARKETPLACE,14,279.58,16.77,12.58,44.73,5.59,0.56,4.19,0.0,0.0
2024-06,FRN_00090,GRUPO_208,LONG_TAIL,MARKETPLACE,50,1585.13,95.11,71.33,253.62,31.7,3.17,23.78,0.0,0.0
2024-06,FRN_00091,GRUPO_237,STANDARD,MARKETPLACE,29,1738.93,104.34,78.25,278.23,34.78,3.48,26.08,0.0,0.0
2024-06,FRN_00092,GRUPO_338,LONG_TAIL,MARKETPLACE,42,1986.67,119.2,89.4,317.87,39.73,3.97,29.8,0.0,0.0
2024-06,FRN_00093,GRUPO_367,STRATEGIC,MARKETPLACE,574,102271.41,6136.28,4602.21,16363.43,2045.43,204.54,1534.07,0.0,0.0
2024-06,FRN_00094,GRUPO_053,STANDARD,MARKETPLACE,341,19099.69,1145.98,859.49,3055.95,381.99,38.2,286.5,0.0,0.0
2024-06,FRN_00095,GRUPO_280,STANDARD,MARKETPLACE,278,30471.58,1828.29,1371.22,4875.45,609.43,60.94,457.07,0.0,0.0
2024-06,FRN_00096,GRUPO_217,LONG_TAIL,MARKETPLACE,85,2113.8,126.83,95.12,338.21,42.28,4.23,31.71,0.0,0.0
2024-06,FRN_00097,GRUPO_252,LONG_TAIL,FULL_SERVICE,37,1456.43,116.51,87.38,174.77,29.13,7.28,21.85,-81.56,-11.65
2024-06,FRN_00098,GRUPO_188,STANDARD,MARKETPLACE,236,12585.44,755.13,566.35,2013.67,251.71,25.17,188.78,0.0,0.0
2024-06,FRN_00099,GRUPO_380,LONG_TAIL,FULL_SERVICE,77,5368.01,429.44,322.08,644.16,107.36,26.84,80.52,-300.61,-42.94
2024-06,FRN_00100,GRUPO_041,STRATEGIC,FULL_SERVICE,1080,113717.65,9097.41,6823.06,13646.12,2274.35,568.59,1705.76,-6368.19,-909.74
2024-06,FRN_00101,GRUPO_157,STANDARD,MARKETPLACE,105,4291.19,257.47,193.1,686.59,85.82,8.58,64.37,0.0,0.0
2024-06,FRN_00102,GRUPO_015,STANDARD,MARKETPLACE,227,7976.56,478.59,358.94,1276.25,159.53,15.95,119.65,0.0,0.0
2024-06,FRN_00103,GRUPO_301,LONG_TAIL,MARKETPLACE,91,2617.91,157.07,117.8,418.87,52.36,5.24,39.27,0.0,0.0
2024-06,FRN_00104,GRUPO_065,STANDARD,MARKETPLACE,352,8063.39,483.8,362.85,1290.14,161.27,16.13,120.95,0.0,0.0
2024-06,FRN_00105,GRUPO_345,STANDARD,MARKETPLACE,357,23597.87,1415.87,1061.9,3775.66,471.96,47.2,353.97,0.0,0.0
2024-06,FRN_00106,GRUPO_327,STRATEGIC,MARKETPLACE,1045,62425.68,3745.54,2809.15,9988.11,1248.51,124.85,936.39,0.0,0.0
2024-06,FRN_00107,GRUPO_009,STRATEGIC,MARKETPLACE,588,53027.43,3181.65,2386.24,8484.39,1060.55,106.05,795.41,0.0,0.0
2024-06,FRN_00108,GRUPO_344,STANDARD,MARKETPLACE,268,16163.76,969.83,727.37,2586.2,323.28,32.33,242.46,0.0,0.0
2024-06,FRN_00109,GRUPO_129,STANDARD,MARKETPLACE,249,15038.17,902.29,676.72,2406.11,300.76,30.08,225.57,0.0,0.0
2024-06,FRN_00110,GRUPO_136,LONG_TAIL,MARKETPLACE,1,67.88,4.07,3.05,10.86,1.36,0.14,1.02,0.0,0.0
2024-06,FRN_00111,GRUPO_063,STANDARD,MARKETPLACE,599,46932.6,2815.96,2111.97,7509.22,938.65,93.87,703.99,0.0,0.0
2024-06,FRN_00112,GRUPO_139,STANDARD,MARKETPLACE,160,6565.27,393.92,295.44,1050.44,131.31,13.13,98.48,0.0,0.0
2024-06,FRN_00113,GRUPO_081,STRATEGIC,MARKETPLACE,847,101994.71,6119.68,4589.76,16319.15,2039.89,203.99,1529.92,0.0,0.0
2024-06,FRN_00114,GRUPO_392,LONG_TAIL,MARKETPLACE,48,3050.94,183.06,137.3,488.15,61.02,6.1,45.76,0.0,0.0
2024-06,FRN_00115,GRUPO_163,LONG_TAIL,MARKETPLACE,1,63.57,3.81,2.86,10.17,1.27,0.13,0.95,0.0,0.0
2024-06,FRN_00116,GRUPO_289,STRATEGIC,MARKETPLACE,764,49783.83,2987.03,2240.27,7965.41,995.68,99.57,746.76,0.0,0.0
2024-06,FRN_00117,GRUPO_379,LONG_TAIL,MARKETPLACE,14,730.57,43.83,32.87,116.89,14.61,1.46,10.96,0.0,0.0
2024-06,FRN_00118,GRUPO_261,STANDARD,MARKETPLACE,439,27926.28,1675.58,1256.68,4468.2,558.53,55.85,418.89,0.0,0.0
2024-06,FRN_00119,GRUPO_231,STRATEGIC,MARKETPLACE,524,59029.4,3541.76,2656.32,9444.7,1180.59,118.06,885.44,0.0,0.0
2024-06,FRN_00120,GRUPO_041,STANDARD,MARKETPLACE,485,39807.05,2388.42,1791.32,6369.13,796.14,79.61,597.11,0.0,0.0
2024-06,FRN_00121,GRUPO_028,STANDARD,MARKETPLACE,344,35858.0,2151.48,1613.61,5737.28,717.16,71.72,537.87,0.0,0.0
2024-06,FRN_00122,GRUPO_135,STRATEGIC,FULL_SERVICE,973,82565.24,6605.22,4953.91,9907.83,1651.3,412.83,1238.48,-4623.65,-660.52
2024-06,FRN_00123,GRUPO_201,LONG_TAIL,FULL_SERVICE,6,219.4,17.55,13.16,26.33,4.39,1.1,3.29,-12.29,-1.76
2024-06,FRN_00124,GRUPO_328,LONG_TAIL,MARKETPLACE,23,1422.95,85.38,64.03,227.67,28.46,2.85,21.34,0.0,0.0
2024-06,FRN_00125,GRUPO_268,LONG_TAIL,MARKETPLACE,80,4252.82,255.17,191.38,680.45,85.06,8.51,63.79,0.0,0.0
2024-06,FRN_00126,GRUPO_033,STANDARD,MARKETPLACE,145,17403.58,1044.21,783.16,2784.57,348.07,34.81,261.05,0.0,0.0
2024-06,FRN_00127,GRUPO_048,STANDARD,MARKETPLACE,239,20768.49,1246.11,934.58,3322.96,415.37,41.54,311.53,0.0,0.0
2024-06,FRN_00128,GRUPO_062,LONG_TAIL,MARKETPLACE,58,3117.84,187.07,140.3,498.85,62.36,6.24,46.77,0.0,0.0
2024-06,FRN_00129,GRUPO_216,STANDARD,MARKETPLACE,347,17527.47,1051.65,788.74,2804.4,350.55,35.05,262.91,0.0,0.0
2024-06,FRN_00130,GRUPO_293,STRATEGIC,MARKETPLACE,999,41777.96,2506.68,1880.01,6684.47,835.56,83.56,626.67,0.0,0.0
2024-06,FRN_00131,GRUPO_099,STANDARD,MARKETPLACE,170,18051.96,1083.12,812.34,2888.31,361.04,36.1,270.78,0.0,0.0
2024-06,FRN_00132,GRUPO_172,LONG_TAIL,MARKETPLACE,74,7083.8,425.03,318.77,1133.41,141.68,14.17,106.26,0.0,0.0
2024-06,FRN_00133,GRUPO_360,STANDARD,MARKETPLACE,292,34342.71,2060.56,1545.42,5494.83,686.85,68.69,515.14,0.0,0.0
2024-06,FRN_00134,GRUPO_214,STRATEGIC,MARKETPLACE,303,14683.2,880.99,660.74,2349.31,293.66,29.37,220.25,0.0,0.0
2024-06,FRN_00135,GRUPO_035,LONG_TAIL,FULL_SERVICE,111,2241.38,179.31,134.48,268.97,44.83,11.21,33.62,-125.52,-17.93
2024-06,FRN_00136,GRUPO_227,STANDARD,MARKETPLACE,263,27005.33,1620.32,1215.24,4320.85,540.11,54.01,405.08,0.0,0.0
2024-06,FRN_00137,GRUPO_101,STANDARD,MARKETPLACE,340,23905.63,1434.34,1075.75,3824.9,478.11,47.81,358.58,0.0,0.0
2024-06,FRN_00138,GRUPO_131,STRATEGIC,MARKETPLACE,613,69323.58,4159.41,3119.56,11091.77,1386.47,138.65,1039.85,0.0,0.0
2024-06,FRN_00139,GRUPO_257,STANDARD,FULL_SERVICE,401,24129.44,1930.36,1447.77,2895.53,482.59,120.65,361.94,-1351.25,-193.04
2024-06,FRN_00140,GRUPO_005,LONG_TAIL,MARKETPLACE,68,4720.0,283.2,212.4,755.2,94.4,9.44,70.8,0.0,0.0
2024-06,FRN_00141,GRUPO_218,STANDARD,MARKETPLACE,260,18695.93,1121.76,841.32,2991.35,373.92,37.39,280.44,0.0,0.0
2024-06,FRN_00142,GRUPO_255,STANDARD,MARKETPLACE,338,28877.83,1732.67,1299.5,4620.45,577.56,57.76,433.17,0.0,0.0
2024-06,FRN_00143,GRUPO_398,LONG_TAIL,FULL_SERVICE,111,3853.09,308.25,231.19,462.37,77.06,19.27,57.8,-215.77,-30.82
2024-06,FRN_00144,GRUPO_359,LONG_TAIL,MARKETPLACE,41,1686.99,101.22,75.91,269.92,33.74,3.37,25.3,0.0,0.0
2024-06,FRN_00145,GRUPO_283,LONG_TAIL,MARKETPLACE,29,511.23,30.67,23.0,81.8,10.22,1.02,7.67,0.0,0.0
2024-06,FRN_00146,GRUPO_393,STANDARD,MARKETPLACE,1,103.47,6.21,4.66,16.56,2.07,0.21,1.55,0.0,0.0
2024-06,FRN_00147,GRUPO_207,STANDARD,MARKETPLACE,114,12980.3,778.82,584.12,2076.85,259.61,25.96,194.7,0.0,0.0
2024-06,FRN_00148,GRUPO_015,LONG_TAIL,MARKETPLACE,79,3373.11,202.39,151.79,539.7,67.46,6.75,50.6,0.0,0.0
2024-06,FRN_00149,GRUPO_346,LONG_TAIL,MARKETPLACE,75,4323.93,259.44,194.58,691.83,86.48,8.65,64.86,0.0,0.0
2024-06,FRN_00150,GRUPO_042,KEY_ACCOUNT,FULL_SERVICE,1269,227279.59,18182.37,13636.78,27273.55,4545.59,1136.4,3409.19,-12727.66,-1818.24
2024-06,FRN_00151,GRUPO_380,STRATEGIC,FULL_SERVICE,610,91155.81,7292.46,5469.35,10938.7,1823.12,455.78,1367.34,-5104.72,-729.25
2024-06,FRN_00152,GRUPO_179,STANDARD,MARKETPLACE,206,13862.64,831.76,623.82,2218.02,277.25,27.73,207.94,0.0,0.0
2024-06,FRN_00153,GRUPO_063,LONG_TAIL,MARKETPLACE,52,2713.8,162.83,122.12,434.21,54.28,5.43,40.71,0.0,0.0
2024-06,FRN_00154,GRUPO_352,STANDARD,MARKETPLACE,467,29539.2,1772.35,1329.26,4726.27,590.78,59.08,443.09,0.0,0.0
2024-06,FRN_00155,GRUPO_231,STANDARD,MARKETPLACE,418,34877.88,2092.67,1569.5,5580.46,697.56,69.76,523.17,0.0,0.0
2024-06,FRN_00156,GRUPO_241,STRATEGIC,MARKETPLACE,1024,93657.67,5619.46,4214.6,14985.23,1873.15,187.32,1404.87,0.0,0.0
2024-06,FRN_00157,GRUPO_052,LONG_TAIL,FULL_SERVICE,103,5542.91,443.43,332.57,665.15,110.86,27.71,83.14,-310.4,-44.34
2024-06,FRN_00158,GRUPO_096,LONG_TAIL,MARKETPLACE,1,30.38,1.82,1.36,4.86,0.61,0.06,0.46,0.0,0.0
2024-06,FRN_00159,GRUPO_388,STANDARD,FULL_SERVICE,402,38386.15,3070.89,2303.17,4606.34,767.72,191.93,575.79,-2149.62,-307.09
2024-06,FRN_00160,GRUPO_222,LONG_TAIL,FULL_SERVICE,24,1425.78,114.06,85.55,171.09,28.52,7.13,21.39,-79.84,-11.41
2024-06,FRN_00161,GRUPO_231,LONG_TAIL,FULL_SERVICE,96,5213.44,417.08,312.81,625.61,104.27,26.07,78.2,-291.96,-41.71
2024-06,FRN_00162,GRUPO_237,STANDARD,MARKETPLACE,365,31605.92,1896.36,1422.27,5056.95,632.12,63.21,474.09,0.0,0.0
2024-06,FRN_00163,GRUPO_143,STANDARD,FULL_SERVICE,328,21213.48,1697.08,1272.81,2545.62,424.27,106.07,318.2,-1187.96,-169.71
2024-06,FRN_00164,GRUPO_171,STANDARD,FULL_SERVICE,457,42909.95,3432.8,2574.6,5149.19,858.2,214.55,643.65,-2402.96,-343.28
2024-06,FRN_00165,GRUPO_029,LONG_TAIL,MARKETPLACE,15,809.64,48.58,36.44,129.54,16.19,1.62,12.14,0.0,0.0
2024-06,FRN_00166,GRUPO_036,STANDARD,MARKETPLACE,158,6792.75,407.56,305.67,1086.84,135.85,13.59,101.89,0.0,0.0
2024-06,FRN_00167,GRUPO_013,STANDARD,MARKETPLACE,213,15177.62,910.66,683.0,2428.42,303.55,30.36,227.66,0.0,0.0
2024-06,FRN_00168,GRUPO_160,LONG_TAIL,MARKETPLACE,68,2899.46,173.97,130.48,463.91,57.99,5.8,43.49,0.0,0.0
2024-06,FRN_00169,GRUPO_327,STANDARD,FULL_SERVICE,288,18691.97,1495.36,1121.52,2243.04,373.84,93.46,280.38,-1046.75,-149.54
2024-06,FRN_00170,GRUPO_187,LONG_TAIL,MARKETPLACE,88,880.0,52.8,39.6,140.8,17.6,1.76,13.2,0.0,0.0
2024-06,FRN_00171,GRUPO_243,STANDARD,MARKETPLACE,251,28428.15,1705.69,1279.27,4548.5,568.56,56.86,426.42,0.0,0.0
2024-06,FRN_00172,GRUPO_086,STRATEGIC,MARKETPLACE,826,128586.63,7715.2,5786.4,20573.86,2571.73,257.17,1928.8,0.0,0.0
2024-06,FRN_00173,GRUPO_284,LONG_TAIL,MARKETPLACE,1,27.64,1.66,1.24,4.42,0.55,0.06,0.41,0.0,0.0
2024-06,FRN_00174,GRUPO_066,LONG_TAIL,MARKETPLACE,72,5609.62,336.58,252.44,897.54,112.19,11.22,84.14,0.0,0.0
2024-06,FRN_00175,GRUPO_170,STANDARD,FULL_SERVICE,195,13331.59,1066.53,799.9,1599.79,266.63,66.66,199.97,-746.57,-106.65
2024-06,FRN_00176,GRUPO_045,LONG_TAIL,MARKETPLACE,69,1646.0,98.76,74.07,263.36,32.92,3.29,24.69,0.0,0.0
2024-06,FRN_00177,GRUPO_062,LONG_TAIL,FULL_SERVICE,96,960.0,76.8,57.6,115.2,19.2,4.8,14.4,-53.76,-7.68
